split_fraction,train_rows,test_rows,test_start,test_end,block_mode,block_days,temporal_blocks,requested_resamples,seed,code,country,task,model,metric,primary_metric,point_estimate,bootstrap_mean,bootstrap_median,ci_low,ci_high,confidence,valid_resamples,positive_ci,excludes_zero,direction,p_two_sided
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,485424676,at,Austria,classification,LogReg,auc_gain,True,0.06704727138560618,0.06821907352575697,0.06707543333732979,0.0323611067343286,0.11085457775331752,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,1557233849,be,Belgium,classification,LogReg,auc_gain,True,0.16144566769318802,0.1616679425295243,0.1618877454351434,0.11173347764973318,0.2135974948278109,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7588,2025-06-18T17:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,1880112050,bg,Bulgaria,classification,LogReg,auc_gain,True,0.00792373969790039,0.008093641768836498,0.008132427145746635,-0.00048145911165519784,0.016875602129855324,0.95,2000,False,False,overlaps_zero,0.063968015992004
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,147067191,cz,Czech Republic,classification,LogReg,auc_gain,True,0.013071462236361353,0.013606578681168196,0.012212874097535686,0.0032410993200463457,0.03367562376814694,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3581592072,de,Germany,classification,LogReg,auc_gain,True,0.3058813441000582,0.3057962664757711,0.3057392646821793,0.2632889794411804,0.35096883218617314,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30339,7585,2025-06-18T12:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,4118848249,dk,Denmark,classification,LogReg,auc_gain,True,0.38910418411362635,0.38831632215668843,0.38892633300762647,0.32411036633710016,0.4485972723670918,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,156492851,es,Spain,classification,LogReg,auc_gain,True,0.1415788510514997,0.14138454528983987,0.14122724740022974,0.10646153741148981,0.17862677416008274,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30305,7577,2025-06-18T00:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,1120195802,fr,France,classification,LogReg,auc_gain,True,0.08587452167617826,0.08543947644805336,0.08419169214953676,0.022234201932654383,0.15030296210457766,0.95,2000,True,True,positive,0.0069965017491254375
0.8,30346,7587,2025-06-18T17:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,2299880843,gr,Greece,classification,LogReg,auc_gain,True,0.13277475698695285,0.13173963222283164,0.13159683855807558,0.09944876601264192,0.16521811356755492,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,2754115982,hr,Croatia,classification,LogReg,auc_gain,True,0.1721634679630215,0.17397528163327672,0.17289589818186396,0.11313132743166227,0.24212919634775468,0.95,2000,True,True,positive,0.0009995002498750624
0.8,28868,7217,2025-05-18T22:00:00+00:00,2026-04-30T22:00:00+00:00,iso_week,7,48,2000,2169394076,ie,Ireland,classification,LogReg,auc_gain,True,0.3584985798008786,0.3591079471007902,0.3585477054850839,0.29229590044062215,0.42921504436638425,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30351,7588,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,826932186,lt,Lithuania,classification,LogReg,auc_gain,True,0.30427382272578796,0.3035898239341128,0.3033971230904472,0.25421885825711055,0.35398107245403904,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,3593180117,lv,Latvia,classification,LogReg,auc_gain,True,0.0059533506072703135,0.005934553049018529,0.005741325191762514,-0.002723412575861622,0.015291823896217333,0.95,2000,False,False,overlaps_zero,0.17391304347826086
