lat,lon,wind_mw,solar_mw
54.5254,11.7597,166.0,0.0
54.5265,11.617,207.0,0.0
54.6662,11.758,0.0,1.3
54.6698,11.7361,0.0,3.0
54.7048,11.2945,0.0,4.0
54.7087,11.3041,0.0,3.0
54.7201,11.2887,0.0,7.0
54.726,11.2763,36.0,0.0
54.7428,11.2847,29.0,0.0
54.7596,11.8166,0.0,34.0
54.7644,11.0187,25.0,0.0
54.7858,11.2415,11.0,0.0
54.7987,10.71,0.0,2.2
54.814,10.6958,0.0,1.0
54.8228,11.162,0.0,1.0
54.8256,11.1708,0.0,5.0
54.8289,11.1373,0.0,61.77
54.8521,10.5026,0.0,7.4
54.8551,9.2244,16.0,0.0
54.863,9.1873,12.0,0.0
54.885,9.0467,15.0,0.0
54.885,12.0274,0.0,2.0
54.896,11.1205,0.0,5.0
54.907,9.5323,0.0,1.7
54.9084,8.9347,21.0,0.0
54.9111,11.0324,21.0,0.0
54.9127,9.5028,0.0,1.5
54.9196,9.8194,0.0,2.0
54.928,9.861,0.0,21.75
54.9302,11.1764,15.0,0.0
54.9326,9.604,0.0,5.7
54.9409,11.0858,32.0,0.0
54.941,9.0776,0.0,1.9
54.9417,12.2617,0.0,1.0
54.9456,9.2676,0.0,19.0
54.9469,9.2774,0.0,14.0
54.9855,12.9965,605.0,0.0
55.0004,12.2911,0.0,4.3
55.025,9.2561,0.0,219.24
55.0281,8.6769,24.0,0.0
55.0327,9.2098,0.0,12.3
55.0345,9.8195,0.0,2.0
55.0453,15.0703,0.0,7.0
55.0517,8.9604,0.0,3.8
55.0539,11.8848,0.0,6.4
55.0638,14.8876,0.0,7.0
55.0641,9.3774,0.0,2.0
55.0811,10.4067,0.0,7.0
55.0876,10.6463,0.0,19.9
55.0883,10.6943,0.0,1.4
55.1136,12.0445,0.0,1.8
55.148,11.9586,10.0,0.0
55.1666,11.9023,0.0,44.37
55.2001,9.0807,0.0,5.6
55.219,11.6385,11.0,0.0
55.2412,9.2855,0.0,12.9
55.2524,10.4965,0.0,6.1
55.2527,11.7382,0.0,1.3
55.2566,9.9154,0.0,4.0
55.2608,12.1053,0.0,10.0
55.2674,9.3708,0.0,1.0
55.277,9.0488,0.0,8.4
55.299,11.535,0.0,3.5
55.3253,12.2194,0.0,47.85
55.329,10.1995,0.0,4.7
55.341,10.9396,21.0,0.0
55.3435,12.2902,0.0,3.3
55.3446,10.3992,0.0,1.0
55.3576,10.4345,0.0,4.0
55.3635,12.0799,0.0,5.0
55.3655,12.0968,17.0,0.0
55.3679,9.4886,0.0,2.3
55.3806,10.0581,0.0,1.0
55.4271,9.3071,0.0,14.0
55.4287,11.4452,0.0,22.62
55.445,8.5975,35.8,0.0
55.454,8.5025,32.0,0.0
55.4691,7.8847,160.0,0.0
55.4718,10.5524,10.0,0.0
55.4767,8.8037,0.0,1.5
55.4777,9.8939,0.0,1.6
55.4828,9.8549,0.0,16.0
55.4955,11.4118,18.0,0.0
55.4982,10.3363,0.0,3.0
55.5048,11.2828,0.0,4.6
55.5062,8.9029,0.0,2.9
55.5141,9.4605,0.0,1.0
55.5733,9.2242,0.0,1.9
55.5867,12.2563,0.0,1.0
55.6023,12.4611,11.0,0.0
55.6067,8.6559,35.0,0.0
55.6084,7.6114,209.0,0.0
55.6197,8.2885,0.0,3.3
55.6199,9.3239,0.0,2.5
55.6246,12.3248,0.0,1.0
55.6299,12.6401,0.0,4.1
55.6393,12.5116,0.0,1.3
55.6437,12.2433,0.0,2.7
55.6486,12.468,0.0,2.0
55.6493,11.0705,0.0,53.07
55.6549,11.0598,18.0,0.0
55.655,11.292,0.0,1.8
55.656,11.4216,0.0,2.0
55.6561,12.3673,0.0,1.7
55.6746,9.043,12.0,0.0
55.6825,7.7729,407.0,0.0
55.6887,11.706,0.0,29.58
55.6923,8.5171,12.0,0.0
55.6923,12.6708,40.0,0.0
55.6969,9.1957,0.0,248.565
55.6983,9.3803,0.0,2.1
55.7009,8.5116,0.0,6.2
55.7201,12.2921,0.0,3.8
55.7281,10.5834,21.0,0.0
55.7345,12.3813,0.0,2.0
55.7597,11.5291,0.0,7.0
55.7623,11.5914,23.0,0.0
55.7626,9.4404,0.0,4.7
55.7682,9.6792,0.0,2.7
55.7879,8.5786,0.0,1.0
55.8108,8.8011,18.0,0.0
55.8291,12.0007,0.0,2.9
55.8316,8.7274,22.0,0.0
55.8386,9.7921,0.0,3.0
55.8459,8.3316,22.0,0.0
55.851,8.321,0.0,69.27
55.8536,8.4331,46.0,0.0
55.8609,8.3195,18.0,0.0
55.8613,8.4063,25.0,0.0
55.892,8.598,24.0,0.0
55.9063,9.1991,0.0,1.0
55.9072,8.8562,18.0,0.0
55.9134,8.5292,0.0,3.9
55.9136,9.1957,32.0,0.0
55.9172,11.6507,0.0,6.2
55.9473,9.173,0.0,2.0
55.9638,8.5593,0.0,9.0
55.9754,9.1258,10.0,0.0
55.9785,9.6272,0.0,3.5
55.9997,8.1336,0.0,1.1
56.0144,8.7355,18.0,0.0
56.0228,8.3183,11.0,0.0
56.0237,8.3712,0.0,2.2
56.0535,8.3429,34.0,0.0
56.0609,8.6296,0.0,1.0
56.083,9.0081,0.0,2.0
56.091,8.3718,0.0,4.0
56.094,8.2842,0.0,6.1
56.0954,8.3664,72.0,0.0
56.0968,8.3558,0.0,15.0
56.1055,8.3544,0.0,15.0
56.1126,8.6122,12.0,0.0
56.1215,8.2405,15.0,0.0
56.1261,8.2328,15.0,0.0
56.1314,8.6776,15.0,0.0
56.1462,9.7537,11.0,0.0
56.1478,8.624,12.0,0.0
56.1489,8.154,0.0,1.0
56.1612,8.8881,0.0,1.6
56.1902,8.2634,36.0,0.0
56.1902,10.1677,0.0,2.0
56.2044,8.7342,0.0,17.0
56.2066,8.7737,0.0,14.0
56.218,8.9705,10.0,0.0
56.2225,8.2334,16.0,0.0
56.2416,8.7142,0.0,12.9
56.2691,8.7488,0.0,16.53
56.2691,8.7494,0.0,19.0
56.2711,9.7129,0.0,12.0
56.2724,8.8093,0.0,3.2
56.2751,8.7409,25.0,0.0
56.2869,9.1103,0.0,2.0
56.2921,8.3057,11.0,0.0
56.3107,9.1632,0.0,3.4
56.3144,10.0341,0.0,4.2
56.322,8.4623,14.0,0.0
56.3233,8.7654,13.0,0.0
56.3373,9.2453,0.0,2.0
56.3605,8.8419,46.0,0.0
56.364,8.3151,16.0,0.0
56.3666,8.3141,0.0,14.0
56.3666,8.3143,0.0,2.0
56.371,8.2677,11.0,0.0
56.3767,8.3795,40.0,0.0
56.377,8.4734,0.0,180.09
56.3772,8.4708,13.0,0.0
56.3783,8.2532,10.0,0.0
56.387,8.219,0.0,45.0
56.3994,10.1415,11.5,0.0
56.3997,10.1415,39.6,0.0
56.405,10.0017,0.0,2.2
56.4053,9.9003,0.0,1.8
56.4102,8.858,11.0,0.0
56.4185,10.9101,0.0,5.0
56.4201,8.6084,12.0,0.0
56.4376,8.3403,18.0,0.0
56.4573,8.6246,11.0,0.0
56.4623,8.2394,11.0,0.0
56.4624,8.2138,20.0,0.0
56.4869,10.1137,0.0,18.0
56.4872,10.4461,0.0,1.4
56.4968,10.2474,17.0,0.0
56.5029,9.7619,0.0,1.3
56.5181,9.3528,0.0,1.3
56.5199,9.8487,0.0,24.36
56.5474,9.1589,0.0,1.3
56.5569,10.1681,14.0,0.0
56.5612,9.0259,0.0,38.28
56.5714,9.8656,22.0,0.0
56.5742,10.0732,12.0,0.0
56.5897,11.1827,400.0,0.0
56.632,9.6281,15.0,0.0
56.6388,8.8305,0.0,2.8
56.6604,10.3369,23.0,0.0
56.6674,10.2958,36.0,0.0
56.6704,8.2162,17.0,0.0
56.6735,8.4738,15.0,0.0
56.6746,9.7141,16.0,0.0
56.6751,10.272,58.0,0.0
56.6762,10.2966,36.0,0.0
56.6771,8.2518,28.0,0.0
56.6854,8.9679,15.0,0.0
56.6895,9.5275,12.0,0.0
56.6961,9.7671,15.0,0.0
56.6994,9.478,0.0,5.5
56.7355,8.3731,12.0,0.0
56.7361,10.1122,0.0,4.2
56.754,8.681,0.0,30.0
56.7547,9.0065,14.0,0.0
56.7567,8.6452,18.0,0.0
56.7628,9.0375,12.0,0.0
56.7633,9.613,11.0,0.0
56.7734,9.3747,14.0,0.0
56.7769,9.3258,0.0,3.7
56.7807,10.1946,0.0,15.0
56.7824,10.1968,38.0,0.0
56.8055,8.8384,0.0,3.7
56.8304,10.1322,0.0,1.4
56.8461,9.3841,12.0,0.0
56.9295,9.3502,0.0,4.2
56.9629,10.2139,0.0,1.2
57.0082,9.2215,74.0,0.0
57.0101,9.3949,30.0,0.0
57.0217,8.7611,29.0,0.0
57.0287,9.2669,11.0,0.0
57.042,8.4793,28.8,0.0
57.0465,8.8834,53.0,0.0
57.0693,9.1432,70.0,0.0
57.0749,8.6765,0.0,43.5
57.0754,10.0365,12.0,0.0
