scheme,resolution_deg,task,model,fidelity_regions,median_absolute_gain_drift,max_absolute_gain_drift,median_relative_gain_drift,cost_regions,total_wall_s,total_compute_s,total_processed_points,total_point_hours,max_peak_rss_mb,resolution_cached_regions,relationship,countries,correlation
capacity,0.25,classification,LogReg,19,0.0,0.0,0.0,19,38.13598192011705,31.209494334994815,13172,499798368,675.21875,19,all_europe,17,0.8497813282364678
capacity,0.25,classification,LogReg,19,0.0,0.0,0.0,19,38.13598192011705,31.209494334994815,13172,499798368,675.21875,19,without_lithuania,16,0.8675239321184349
capacity,0.25,classification,RandForest,19,0.0,0.0,0.0,19,38.13598192011705,31.209494334994815,13172,499798368,675.21875,19,all_europe,17,0.8807740932171249
capacity,0.25,classification,RandForest,19,0.0,0.0,0.0,19,38.13598192011705,31.209494334994815,13172,499798368,675.21875,19,without_lithuania,16,0.8922316424621051
capacity,0.25,regression,GradientBoosting,19,0.0,0.0,0.0,19,38.13598192011705,31.209494334994815,13172,499798368,675.21875,19,all_europe,17,0.8144438304735625
capacity,0.25,regression,GradientBoosting,19,0.0,0.0,0.0,19,38.13598192011705,31.209494334994815,13172,499798368,675.21875,19,without_lithuania,16,0.8163105453912425
capacity,0.25,regression,LightGBM,19,0.0,0.0,0.0,19,38.13598192011705,31.209494334994815,13172,499798368,675.21875,19,all_europe,17,0.8087004744699372
capacity,0.25,regression,LightGBM,19,0.0,0.0,0.0,19,38.13598192011705,31.209494334994815,13172,499798368,675.21875,19,without_lithuania,16,0.8094799530144244
capacity,0.5,classification,LogReg,19,0.0002798397549192994,0.004948688139119917,0.0027224260238662965,19,28.827535833930597,22.27487750101136,3415,129578760,667.359375,19,all_europe,17,0.8487014882003685
capacity,0.5,classification,LogReg,19,0.0002798397549192994,0.004948688139119917,0.0027224260238662965,19,28.827535833930597,22.27487750101136,3415,129578760,667.359375,19,without_lithuania,16,0.8665056704062716
capacity,0.5,classification,RandForest,19,0.0010047605938168919,0.00857566573639229,0.012489149936569778,19,28.827535833930597,22.27487750101136,3415,129578760,667.359375,19,all_europe,17,0.8807126857101509
capacity,0.5,classification,RandForest,19,0.0010047605938168919,0.00857566573639229,0.012489149936569778,19,28.827535833930597,22.27487750101136,3415,129578760,667.359375,19,without_lithuania,16,0.8921831628083141
capacity,0.5,regression,GradientBoosting,19,0.0021773370289357996,0.024865859377749683,0.009438169060218772,19,28.827535833930597,22.27487750101136,3415,129578760,667.359375,19,all_europe,17,0.8147467693763314
capacity,0.5,regression,GradientBoosting,19,0.0021773370289357996,0.024865859377749683,0.009438169060218772,19,28.827535833930597,22.27487750101136,3415,129578760,667.359375,19,without_lithuania,16,0.8170180391519118
capacity,0.5,regression,LightGBM,19,0.002771392880939798,0.019204320037575898,0.014170065701546506,19,28.827535833930597,22.27487750101136,3415,129578760,667.359375,19,all_europe,17,0.8090619056994037
capacity,0.5,regression,LightGBM,19,0.002771392880939798,0.019204320037575898,0.014170065701546506,19,28.827535833930597,22.27487750101136,3415,129578760,667.359375,19,without_lithuania,16,0.809243324391401
capacity,1.0,classification,LogReg,19,0.0007583104708595023,0.0226547050467171,0.011632641433659262,19,25.417078834027052,18.861851040972397,918,34832592,699.296875,19,all_europe,17,0.8478567582144955
capacity,1.0,classification,LogReg,19,0.0007583104708595023,0.0226547050467171,0.011632641433659262,19,25.417078834027052,18.861851040972397,918,34832592,699.296875,19,without_lithuania,16,0.8663425923610418
capacity,1.0,classification,RandForest,19,0.0036963696369636,0.023782574621889707,0.04533041999065262,19,25.417078834027052,18.861851040972397,918,34832592,699.296875,19,all_europe,17,0.8754040240557341
capacity,1.0,classification,RandForest,19,0.0036963696369636,0.023782574621889707,0.04533041999065262,19,25.417078834027052,18.861851040972397,918,34832592,699.296875,19,without_lithuania,16,0.8879138328420804
capacity,1.0,regression,GradientBoosting,19,0.0053372978414907984,0.07273903322275571,0.020890671915845132,19,25.417078834027052,18.861851040972397,918,34832592,699.296875,19,all_europe,17,0.8126465030728931
capacity,1.0,regression,GradientBoosting,19,0.0053372978414907984,0.07273903322275571,0.020890671915845132,19,25.417078834027052,18.861851040972397,918,34832592,699.296875,19,without_lithuania,16,0.8138074654310058
capacity,1.0,regression,LightGBM,19,0.005335369964865833,0.0790863646300326,0.023854735152209216,19,25.417078834027052,18.861851040972397,918,34832592,699.296875,19,all_europe,17,0.806462677220208
