scheme,resolution_deg,task,model,countries,correlation
capacity,0.25,classification,LogReg,17,0.8497986940340271
capacity,0.25,classification,RandForest,17,0.8807944101391566
capacity,0.25,regression,GradientBoosting,17,0.814457050234573
capacity,0.25,regression,LightGBM,17,0.8087134314386129
capacity,0.5,classification,LogReg,17,0.8487187147424378
capacity,0.5,classification,RandForest,17,0.880733484768435
capacity,0.5,regression,GradientBoosting,17,0.814759745923643
capacity,0.5,regression,LightGBM,17,0.8090751330052564
capacity,1.0,classification,LogReg,17,0.8478732953180543
capacity,1.0,classification,RandForest,17,0.8754221285945707
capacity,1.0,regression,GradientBoosting,17,0.812658998647692
capacity,1.0,regression,LightGBM,17,0.8064745216731599
capacity,2.0,classification,LogReg,17,0.838466876694681
capacity,2.0,classification,RandForest,17,0.8028364440100624
capacity,2.0,regression,GradientBoosting,17,0.7975028646916114
capacity,2.0,regression,LightGBM,17,0.7900447796853496
uniform,0.25,classification,LogReg,17,0.8406442208148875
uniform,0.25,classification,RandForest,17,0.8742774973330305
uniform,0.25,regression,GradientBoosting,17,0.8007044940290238
uniform,0.25,regression,LightGBM,17,0.7906449069472514
uniform,0.5,classification,LogReg,17,0.8392505165159302
uniform,0.5,classification,RandForest,17,0.8681073675235905
uniform,0.5,regression,GradientBoosting,17,0.7995323981630836
uniform,0.5,regression,LightGBM,17,0.7910360600394245
uniform,1.0,classification,LogReg,17,0.8397500689270376
uniform,1.0,classification,RandForest,17,0.8690467451574777
uniform,1.0,regression,GradientBoosting,17,0.7954125217574214
uniform,1.0,regression,LightGBM,17,0.787931680679256
uniform,2.0,classification,LogReg,17,0.838596296638131
uniform,2.0,classification,RandForest,17,0.8120075677764612
uniform,2.0,regression,GradientBoosting,17,0.7877739233632589
uniform,2.0,regression,LightGBM,17,0.7755379841476829
