code,scheme,resolution_deg,native_resolution_deg,coarsen_lat_factor,coarsen_lon_factor,hours,native_points,processed_points,point_hours,source_bytes,capacity_layout,capacity_years,wind_capacity_mw,solar_capacity_mw,wind_capacity_mw_start,wind_capacity_mw_end,solar_capacity_mw_start,solar_capacity_mw_end,wind_outside_grid_mw_max,solar_outside_grid_mw_max,wind_outside_grid_points_max,solar_outside_grid_points_max,wind_weight_fallback,solar_weight_fallback,wind_capacity_absent,solar_capacity_absent,wind_low_coverage,solar_low_coverage,wind_fallback_years,solar_fallback_years,compute_s,write_s,total_s,point_hours_per_s,peak_rss_mb,run_id,workers,task_wall_s,source_kind,source_open_s,graph_build_s,system_scope,wind_out_of_system_scope_mw_max,solar_out_of_system_scope_mw_max,wind_out_of_system_scope_points_max,solar_out_of_system_scope_points_max,aggregation_point_hours_per_s,wind_occupied_cells,solar_occupied_cells,combined_occupied_cells,wind_effective_cells,solar_effective_cells,combined_effective_cells
sk,capacity,0.25,0.25,1,1,37944,250,250,9486000,66507172,annual,"2022,2023,2024,2025,2026",0.0,826.3574636306136,0.0,0.0,785.75,885.8499999999999,0.0,0.0,0,0,True,False,True,False,False,False,"2022,2023,2024,2025,2026",,1.1483051249524578,0.1467711659497581,1.4144553340156565,6706468.399443288,626.015625,20260723T013213Z-85f136d9,8,7.174533749988768,resolution_cache,0.0128044589655473,0.0993143340456299,country,0.0,0.0,0.0,0.0,8260870.55946279,0.0,75.61037318153068,75.61037318153068,0.0,30.998623614644018,30.998623614644018
sk,uniform,0.25,0.25,1,1,37944,250,250,9486000,66507172,annual,"2022,2023,2024,2025,2026",0.0,826.3574636306136,0.0,0.0,785.75,885.8499999999999,0.0,0.0,0,0,False,False,True,False,False,False,,,1.2616026250179857,0.5427774169947952,1.9284085829858668,4919082.026337114,628.859375,20260723T013213Z-85f136d9,8,7.232014417008031,resolution_cache,0.0097428750013932,0.1109505409840494,country,0.0,0.0,0.0,0.0,7519007.817429649,0.0,75.61037318153068,75.61037318153068,0.0,30.998623614644018,30.998623614644018
sk,uniform,2.0,0.25,8,8,37944,250,8,303552,2815766,annual,"2022,2023,2024,2025,2026",0.0,826.3574636306136,0.0,0.0,785.75,885.8499999999999,0.0,0.0,0,0,False,False,True,False,False,False,,,0.9193358750198968,0.1295488749747164,1.1672298749908805,260061.88369910567,605.84375,20260723T013213Z-85f136d9,8,6.90445470798295,resolution_cache,0.0093860420165583,0.1031530420295894,country,0.0,0.0,0.0,0.0,330186.1792279458,0.0,7.0,7.0,0.0,3.078887296833972,3.078887296833972
sk,uniform,1.0,0.25,4,4,37944,250,21,796824,6546366,annual,"2022,2023,2024,2025,2026",0.0,826.3574636306136,0.0,0.0,785.75,885.8499999999999,0.0,0.0,0,0,False,False,True,False,False,False,,,0.8766255420050584,0.1234001659904606,1.1170163750066422,713350.3302449454,603.3125,20260723T013213Z-85f136d9,8,6.970696999982465,resolution_cache,0.0093528750003315,0.1003132910118438,country,0.0,0.0,0.0,0.0,908967.3547241932,0.0,11.306767868437698,11.306767868437698,0.0,8.517219323184582,8.517219323184582
sk,capacity,0.5,0.25,2,2,37944,250,65,2466360,18427365,annual,"2022,2023,2024,2025,2026",0.0,826.3574636306136,0.0,0.0,785.75,885.8499999999999,0.0,0.0,0,0,True,False,True,False,False,False,"2022,2023,2024,2025,2026",,1.0929291250067763,0.1139946249895729,1.3327037920244038,1850643.7925366368,667.359375,20260723T013213Z-85f136d9,8,7.210862959036604,resolution_cache,0.0131017089588567,0.105775625037495,country,0.0,0.0,0.0,0.0,2256651.36335781,0.0,31.30740037950664,31.30740037950664,0.0,16.898914086845718,16.898914086845718
sk,uniform,0.5,0.25,2,2,37944,250,65,2466360,18427365,annual,"2022,2023,2024,2025,2026",0.0,826.3574636306136,0.0,0.0,785.75,885.8499999999999,0.0,0.0,0,0,False,False,True,False,False,False,,,1.1078162500052713,0.4955454160226509,1.7342172090429813,1422174.792834081,646.703125,20260723T013213Z-85f136d9,8,7.131434999988414,resolution_cache,0.0096885419916361,0.1132939580129459,country,0.0,0.0,0.0,0.0,2226325.891128844,0.0,31.30740037950664,31.30740037950664,0.0,16.898914086845718,16.898914086845718
de,uniform,0.5,0.25,2,2,37944,1462,374,14191056,100842549,annual,"2022,2023,2024,2025,2026",47326.791018342825,25020.629239721693,43410.4,50568.6,16878.836,33217.595,0.0,0.0,0,0,False,False,False,False,False,False,,,1.4359435419901274,0.4410847499966621,2.037886041973252,6963616.074556864,667.359375,20260723T013213Z-85f136d9,8,11.539782874984668,resolution_cache,0.0095911670359782,0.1476827500155195,country,0.0,0.0,0.0,0.0,9882739.52632712,190.38330170777988,214.38266919671096,229.07590132827323,84.80865718126773,99.8003890229202,119.41086195605897
de,capacity,2.0,0.25,8,8,37944,1462,30,1138320,9425745,annual,"2022,2023,2024,2025,2026",47326.791018342825,25020.629239721693,43410.4,50568.6,16878.836,33217.595,0.0,0.0,0,0,False,False,False,False,False,False,,,0.9630171250319108,0.1604214590042829,1.289655790955294,882654.1221179691,605.84375,20260723T013213Z-85f136d9,8,11.062126333999911,resolution_cache,0.0121527499868534,0.1351874580141157,country,0.0,0.0,0.0,0.0,1182035.0546334058,24.0,23.0,25.0,13.317274731413145,11.487397822294792,15.089691952720612
de,capacity,0.5,0.25,2,2,37944,1462,374,14191056,100842549,annual,"2022,2023,2024,2025,2026",47326.791018342825,25020.629239721693,43410.4,50568.6,16878.836,33217.595,0.0,0.0,0,0,False,False,False,False,False,False,,,1.309256042004563,0.1171640420216135,1.5669092089519836,9056718.742173702,617.171875,20260723T013213Z-85f136d9,8,11.262966125039384,resolution_cache,0.0105456669698469,0.1219953750260174,country,0.0,0.0,0.0,0.0,10839022.731010277,190.38330170777988,214.38266919671096,229.07590132827323,84.80865718126773,99.8003890229202,119.41086195605897
de,capacity,0.25,0.25,1,1,37944,1462,1462,55474128,369838804,annual,"2022,2023,2024,2025,2026",47326.791018342825,25020.629239721693,43410.4,50568.6,16878.836,33217.595,0.0,0.0,0,0,False,False,False,False,False,False,,,2.3370349159813486,0.1708064589765854,2.6381528329802677,21027639.986017037,624.9375,20260723T013213Z-85f136d9,8,11.806409791053738,resolution_cache,0.0144402909791097,0.109666374977678,country,0.0,0.0,0.0,0.0,23736970.132817104,488.68247944339026,729.6767868437697,778.607210626186,150.54695721426486,265.4689562449778,258.3471390064889
